Country,Years,Homicide,Burglary,Rape,Theft,Education,GDP,Unemployment,Migration
Greece,2009,0,0.8386746693668605,0.15442266280111014,0.815194798344884,-0.1,0.8636033436606142,0.6643856189774724,-0.1
Greenland,2009,0.8077773372149819,-0.1,-0.1,-0.1,-0.1,0.8908692905774236,-0.1,-0.1
Grenada,2009,0.45354353671141284,0.9200360023448493,0.8379382524849107,0.8162703390192522,-0.1,0.7481217177245229,-0.1,-0.1
Guadeloupe,2009,0.4846664023289891,-0.1,-0.1,-0.1,-0.1,-0.1,0.9047123912114025,-0.1
Guam,2009,0.25605935768362686,-0.1,-0.1,-0.1,-0.1,-0.1,0.6339850002884624,-0.1
Guatemala,2009,0.8872388941058076,0.27467896825126037,0.24475412980126737,0.4487312515673724,-0.1,0.6603085097263768,-0.1,-0.1
Guinea,2009,-0.1,-0.1,-0.1,-0.1,-0.1,0.5404229473321671,0.19999999999999998,-0.1
Guinea-Bissau,2009,-0.1,-0.1,-0.1,-0.1,-0.1,0.5243996390696704,-0.1,-0.1
GuineaBissau,2009,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Guyana,2009,0.6462218697719855,-0.1,0.46326798840333033,-0.1,-0.1,0.6628660910883261,-0.1,-0.1
Haiti,2009,0.41761482512662323,-0.1,-0.1,-0.1,-0.1,0.544726673990419,-0.1,-0.1
"Holy See",2009,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Honduras,2009,0.9967851176962429,-0.1,-0.1,0.5029949696003768,-0.1,0.636735266123559,0.3169925001442312,-0.1
Hungary,2009,0,0.7832552131975159,0.15442266280111014,0.8479643108995406,-0.1,0.7944835590785988,0.6643856189774724,-0.1
Iceland,2009,-0.1,0.9275515566626616,0.7171166384904304,0.8877564058839041,-0.1,0.8911706734075114,0.5614709844115208,-0.1
India,2009,0.25605935768362686,0.27467896825126037,0.15442266280111014,0.3956863909558857,-0.1,0.5851885938540673,-0.1,-0.1
Indonesia,2009,0,0.4353558644150248,0,0.2878827335692894,-0.1,0.6533598178130408,0.6,-0.1
"Iran (Islamic Republic of)",2009,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0.7169925001442312,-0.1
"Iran. Islamic Republic of",2009,-0.1,-0.1,-0.1,-0.1,-0.1,0.7216746465380214,-0.1,-0.1
Iraq,2009,-0.1,-0.1,-0.1,-0.1,-0.1,0.6884299723349004,-0.1,-0.1
