Country,Years,Homicide,Burglary,Rape,Theft,Education,GDP,Unemployment,Migration
Fiji,2011,-0.1,-0.1,-0.1,-0.1,0.8614359785779101,0.6938343675930284,0.6398464660748923,-0.1
Finland,2011,0.15292486830283214,0.8546879554164586,0.6610259109438926,0.8981198283115582,0.598783341472312,0.8971954369938936,0.6055472597462995,-0.1
France,2011,0,0.8394884325825914,0.6224455656099759,0.8965733156428982,0.5814105186946559,0.8849761038851378,0.6398464660748923,-0.1
"French Guiana",2011,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0.8865852597665357,-0.1
"French Polynesia",2011,-0.1,-0.1,-0.1,-0.1,-0.1,0.8312503417855395,-0.1,-0.1
Gabon,2011,-0.1,-0.1,-0.1,-0.1,0.8959037291981714,0.7688345980197343,-0.1,-0.1
Gambia,2011,-0.1,-0.1,-0.1,-0.1,0.9841208269045278,0.5174152156354948,-0.1,-0.1
Georgia,2011,-0.1,-0.1,-0.1,-0.1,0.8113324414185485,0.6743598771065724,0.7886022980997756,-0.1
Germany,2011,0,0.8340104105814747,0.4932764401159909,0.8789952604006266,0.26473975477247347,0.8903978864764194,0.5217723196195461,-0.1
Ghana,2011,0.15292486830283214,-0.1,-0.1,-0.1,0.9423333569162553,0.610294074887998,-0.1,-0.1
Greece,2011,0.15292486830283214,0.8871670355063186,0.15561139140249397,0.8414062103748208,0.6430503486697051,0.8412316023803648,0.8416955526569921,-0.1
Greenland,2011,0.6376852316782526,-0.1,-0.1,-0.1,-0.1,0.8861019250997488,-0.1,-0.1
Grenada,2011,0.3058497366056643,0.9679178645092319,0.7916671714354506,0.8496626686163956,0.8344306847059229,0.7385301785332451,-0.1,-0.1
Guadeloupe,2011,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0.913076848927645,-0.1
Guam,2011,0.15292486830283214,-0.1,-0.1,-0.1,-0.1,-0.1,0.7469303770589024,-0.1
Guatemala,2011,0.8025386238561696,0.33098151682222504,0.31122278280498794,0.47577856707727517,0.9220600116596952,0.6675123954949591,0.4036981731641997,-0.1
Guinea,2011,-0.1,-0.1,-0.1,-0.1,0.994852266065418,0.5317897359480295,0.20184908658209985,-0.1
Guinea-Bissau,2011,-0.1,-0.1,-0.1,-0.1,0.9895619176292131,0.5371343236056196,-0.1,-0.1
GuineaBissau,2011,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Guyana,2011,0.6250747166909282,0.7385996740677635,0.7780569570124699,0.6599846204686534,0.9250913350791019,0.6736102199628479,-0.1,-0.1
Haiti,2011,0.48476036337542056,-0.1,-0.1,-0.1,0.9727502447203535,0.5467759275352654,-0.1,-0.1
"Holy See",2011,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Honduras,2011,1,-0.1,0.7134723942654773,0.4735490980805767,0.9295499663716321,0.6418823880800208,0.4036981731641997,-0.1
"Hong Kong. China (SAR)",2011,-0.1,-0.1,-0.1,-0.1,0.47454104665471614,-0.1,-0.1,-0.1
Hungary,2011,0,0.8146170209597914,0.15561139140249397,0.8551107344600443,0.7182740002451747,0.7907418907813258,0.6982831123151736,-0.1
Iceland,2011,0,0.8502624067744763,0.8281526357894464,0.8560254100971886,0.4196025837644852,0.8885844960892701,0.5666620267290895,-0.1
India,2011,0.3058497366056643,0.25918892880303473,0.15561139140249397,0.39310474123821004,0.9310133403190496,0.605680275908953,-0.1,-0.1
Indonesia,2011,0,0.3990218352785145,0,0.2860044471413751,0.9027862530070898,0.6792215924550958,0.5666620267290895,-0.1
"Iran (Islamic Republic of)",2011,-0.1,-0.1,-0.1,-0.1,0.8085846333545547,-0.1,0.723621406201646,-0.1
"Iran. Islamic Republic of",2011,-0.1,-0.1,-0.1,-0.1,-0.1,0.7429363605445214,-0.1,-0.1
Iraq,2011,-0.1,-0.1,-0.1,-0.1,0.915849078370179,0.7043459259539487,-0.1,-0.1
"Iraq (Central Iraq)",2011,0.48476036337542056,-0.1,0.15561139140249397,0.43068544026673944,-0.1,-0.1,-0.1,-0.1
"Iraq (Kurdistan Region)",2011,0.3058497366056643,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Ireland,2011,0,0.8509356858535577,0.6725412443869524,0.8666538393187867,0.3971096321587102,0.8987962726026268,0.7886022980997756,-0.1
Israel,2011,0.15292486830283214,0.8061186738120966,0.5924677969845177,0.8160208137948912,0.5622976441001489,0.8654218857226328,0.5666620267290895,-0.1
Italy,2011,0,-0.1,-0.1,0.8900416471516056,0.6221966291517336,0.8735935587248802,0.6055472597462995,-0.1
Jamaica,2011,0.8193029347317947,0.6452300289765364,0.7709293811404034,-0.1,0.8676301226137632,0.709322017106588,0.7469303770589024,-0.1
Japan,2011,-0.1,0.6120550798587212,0,0.7307707945331314,0.5410569551171063,0.8932975863543696,0.4686790650623294,-0.1
Jordan,2011,0.15292486830283214,-0.1,-0.1,0.6360500008194183,0.8506438776314115,0.6921815247229929,0.7469303770589024,-0.1
Kazakhstan,2011,-0.1,0.7806377411316545,0.5383269676379316,0.7871871364628853,0.7687188589711236,0.7752776990609798,0.4686790650623294,-0.1
Kazakhstan*,2011,0.48476036337542056,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Kenya,2011,0.39530504999054245,0.2143719167615736,0.15561139140249397,0.4170393608874451,0.9517161952875016,0.5731171841542435,-0.1,-0.1
Kiribati,2011,0.529033124682762,-0.1,-0.1,-0.1,0.9395656365050595,0.6156484460374033,-0.1,-0.1
"Korea (Republic of)",2011,-0.1,-0.1,-0.1,-0.1,0.551972461150722,-0.1,-0.1,-0.1
Kosovo,2011,-0.1,-0.1,-0.1,-0.1,-0.1,0.6812620166009045,-0.1,-0.1
